"","id","team1","team2","season","city","win_by_runs","win_by_wickets","t1ha","t2ha","t1tw","t2tw","t1twbf","t1twff","t2twbf","t2twff","team1tm","team1mw","team1wp","team1wr","team1rs","team1rspi","team1w","team1wpi","team2tm","team2mw","team2wp","team2wr","team2rs","team2rspi","team2w","team2wpi","winner"
"338",320,"Chennai Super Kings","Mumbai Indians",2012,"Bangalore",38,0,0,0,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,140,80,57.1428571428571,60,21721,156,844,7,0
"147",321,"Chennai Super Kings","Delhi Daredevils",2012,"Chennai",86,0,0,0,0,1,0,0,-1,1,131,79,60.3053435114504,52,20899,160,820,7,133,56,42.1052631578947,77,19734,149,753,6,0
"263",322,"Chennai Super Kings","Kolkata Knight Riders",2012,"Chennai",0,5,0,0,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,132,68,51.5151515151515,64,19481,148,762,6,1
"288",323,"Delhi Daredevils","Kolkata Knight Riders",2013,"Kolkata",0,6,0,1,0,1,0,0,-1,1,133,56,42.1052631578947,77,19734,149,753,6,132,68,51.5151515151515,64,19481,148,762,6,1
"373",324,"Royal Challengers Bangalore","Mumbai Indians",2013,"Bangalore",2,0,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,140,80,57.1428571428571,60,21721,156,844,7,0
"393",325,"Sunrisers Hyderabad","Pune Warriors",2013,"Hyderabad",22,0,1,0,0,1,0,0,-1,1,62,34,54.8387096774194,28,9303,151,364,6,46,12,26.0869565217391,34,6358,139,238,6,0
"131",326,"Rajasthan Royals","Delhi Daredevils",2013,"Delhi",5,0,0,1,1,0,1,-1,0,0,118,63,53.3898305084746,55,17703,151,704,6,133,56,42.1052631578947,77,19734,149,753,6,0
"31",327,"Mumbai Indians","Chennai Super Kings",2013,"Chennai",9,0,0,0,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,131,79,60.3053435114504,52,20899,160,820,7,0
"202",328,"Pune Warriors","Kings XI Punjab",2013,"Pune",0,8,1,0,1,0,1,-1,0,0,46,12,26.0869565217391,34,6358,139,238,6,134,63,47.0149253731343,71,20861,156,761,6,1
"558",329,"Royal Challengers Bangalore","Sunrisers Hyderabad",2013,"Hyderabad",0,0,0,1,1,0,1,-1,0,0,139,70,50.3597122302158,69,21591,156,804,6,62,34,54.8387096774194,28,9303,151,364,6,1
